Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
NITROGLICERINE PH&T 25MG/5ML;TRINITRINE;5;MG/ML;SOLUTION INJECTABLE POUR PERFUSION;50 AMPOULE 8 ML; 1 611,00   ;70%
NITROGLICERINE PH&T 25MG/5ML;TRINITRINE;5;MG/ML;SOLUTION INJECTABLE POUR PERFUSION;50 AMPOULE 8 ML; 1 611,00   ;70%
CURTEC;CETIRIZINE;10;MG;COMPRIME PELLICULE;1 BOITE 15 COMPRIME SECABLE; 50,00   ;70%
BELMAZOL 20MG;OMEPRAZOLE;20;MG;GELULE;1 BOITE 28 GELULE; 96,00   ;70%
XENID;DICLOFENAC;75;MG;SOLUTION INJECTABLE;1 BOITE 2 AMPOULE INJECTABLE; 15,90   ;70%
SARGENOR;ASPARTATE D'ARGININE;1;G;SOLUTION BUVABLE;1 BOITE 20 AMPOULE; 44,80   ;0%
RINGER LACTATE SOTHEMA;CHLORURE DE SODIUM / CHLORURE DE POTASSIUM;0.6 / 0.04;G / G;SOLUTION POUR PERFUSION;1 POCHE 250 ML; 19,40   ;0%
BIOTIC PLUS;AMOXICILLINE / ACIDE CLAVULANIQUE;250 / 62.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 83,60   ;70%
MAZAX 300 MG;AZITHROMYCINE;300;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 3 SACHET; 128,00   ;0%
DI-ANTALVIC;PARACETAMOL / DEXTROPROPOXYPHENE;400 / 30;MG / MG;GELULE;1 BOITE 18 GELULE; 32,30   ;0%
TRICHOGIN;TINIDAZOLE;500;MG;COMPRIME;1 BOITE 4 COMPRIME; 21,10   ;70%
MAXIPENE;IBUPROFENE;2;%;SUSPENSION BUVABLE;1 FLACON 150 ML; 22,50   ;70%
SANDIMMUN;CICLOSPORINE;100;MG;SOLUTION BUVABLE;1 FLACON 50 ML; 1 755,00   ;70%
SOLICAM;PIROXICAM;10;MG;GELULE;1 BOITE 28 GELULE; 58,10   ;70%
RIACEN;PIROXICAM;20;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 50,70   ;70%
IMIDAZOL;FLUCONAZOLE;150;MG;GELULE;1 BOITE 2 GELULE; 38,00   ;70%
EAU P.P.I.;EAU POUR PREPARATION INJECTABLE;10;ML;SOLVANT POUR PEPARATION INJECTABLE;1 BOITE 100 AMPOULE INJECTABLE; -     ;0%
DEBRIDAT;TRIMEBUTINE;200;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 80,00   ;0%
LANTUS;INSULINE HUMAINE;100;UI;SOLUTION INJECTABLE LP;1 BOITE 1 CARTOUCHE; 152,50   ;70%
REGULAX;TEGUMENTS DISPAGHULL;3.5;G;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 20 SACHET; 56,50   ;0%
ZOTROL;ATENOLOL;100;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME SECABLE; 45,00   ;70%
ALPHA KADOL POMMADE;COMPLEXE CHYMOTRYPSINE / PHENYLBUTAZONE;2500000 / 5;U.A.T.EE / G;POMMADE;1 TUBE 35 G; 22,65   ;0%
AMAREL;GLIMEPIRIDE;1;MG;COMPRIME;1 BOITE 60 COMPRIME; 92,50   ;70%
EPREX;EPOETINE ALFA;2000;UI;SOLUTION INJECTABLE;1 BOITE 6 FLACON; 3 011,30   ;70%
VITA C 1000 SANS SUCRE;ACIDE ASCORBIQUE (VITAMINE C);1;G;COMPRIME EFFERVESCENT;1 BOITE 10 COMPRIME EFFERVESCENT; 16,80   ;0%
ATROVENT;IPRATROPIUM;0.25;MG/2ML;SOLUTION POUR INHALATION PAR NEBULISEUR;1 BOITE 10 RECIPIENT UNIDOSE; 50,40   ;70%
ATROVENT;IPRATROPIUM;0.25;MG/2ML;SOLUTION POUR INHALATION PAR NEBULISEUR;1 BOITE 10 RECIPIENT UNIDOSE; 50,40   ;70%
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE;20 / 25;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 252,00   ;70%
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE;20 / 25;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 252,00   ;70%
GLUCONATE DE CALCIUM 10 % PROAMP;CALCIUM;10;%;SOLUTION INJECTABLE;50 AMPOULE 10 ML; 291,00   ;70%
TYSABRI 300MG;NATALIZUMAB;20;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 15 ML; -     ;0%
TYSABRI 300MG;NATALIZUMAB;20;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 15 ML; -     ;0%
MYCOSTER;CICLOPIROXOLAMINE;1;%;CREME;1 TUBE 30 G; 45,20   ;70%
BRICANYL TURBUHALER;TERBUTALINE;500;µG;POUDRE POUR INHALATION;1 FLACON 200 DOSE; 112,20   ;70%
INSULET MIX 30;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 FLACON 10 ML; 85,00   ;70%
CALCIFIX VIT D3;CALCIUM / COLECALCIFEROL (VITAMINE D3);500 / 400;MG / UI;COMPRIME A CROQUER;1 BOITE 30 COMPRIME; 42,20   ;70%
TRETACNE;ISOTRETINOINE;10;MG;CAPSULE MOLLE;1 BOITE 30 CAPSULE MOLLE; 150,00   ;70%
ZINNAT;CEFUROXIME;750;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 59,40   ;70%
UTROGESTAN;PROGESTERONE;100;MG;CAPSULE MOLLE ORALE OU VAGINALE;1 BOITE 30 CAPSULE; 80,80   ;70%
UTROGESTAN;PROGESTERONE;100;MG;CAPSULE MOLLE ORALE OU VAGINALE;1 BOITE 30 CAPSULE; 80,80   ;70%
ARIXTRA 5 MG/0.4 ML;FONDAPARINUX SODIQUE;5;MG;SOLUTION INJECTABLE;1 BOITE 10 SERINGUE PREREMPLIE; 1 818,00   ;0%
CALPOL;PARACETAMOL;120;MG;SUSPENSION BUVABLE;1 FLACON 100 ML; 20,60   ;70%
JOSACINE ENFANT;JOSAMYCINE;250;MG;GRANULE POUR SUSPENSION BUVABLE;1 FLACON 15 G; 82,90   ;70%
ADO 1000MG;METFORMINE;1000;MG;COMPRIME PELLICULE;1 BOITE 90 COMPRIME PELLICULE; 43,30   ;0%
GLUCOR;ACARBOSE;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 92,00   ;70%
IBEFLOX;OFLOXACINE;200;MG;COMPRIME;1 BOITE 10 COMPRIME; 62,00   ;70%
GLUCOSE 5% SOTHEMA;GLUCOSE;5;%;SOLUTION POUR PERFUSION;1 POCHE 500 ML; 21,00   ;0%
ROVAMYCINE;SPIRAMYCINE;0.375;MUI;SIROP;1 FLACON 150 ML; 51,50   ;70%
SCANDICAINE 2 % SPECIALE;MEPIVACAINE;36;MG;SOLUTION INJECTABLE POUR USAGE DENTAIRE;1 BOITE 50 CARTOUCHE; 215,00   ;0%
CLOMITER;CLOTRIMAZOLE;1;%;CREME;1 TUBE 30 G; 29,70   ;70%
HYDERGINE;DIHYDROERGOTOXINE;1;MG;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 50 ML; 56,10   ;0%
VIRAFERONPEG 150 µG;INTERFERON ALFA-2B PEGYLE;150;µG;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;1 BOITE 1 STYLO PRE-REMPLI; 3 067,00   ;70%
PNEUMOCCID;AMOXICILLINE;1;G;COMPRIME;1 BOITE 24 COMPRIME; 111,20   ;70%
FELDENE;PIROXICAM;10;MG;GELULE;1 BOITE 20 GELULE; 44,30   ;70%
PAXIL CR 25 MG;PAROXETINE;25;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME PELLICULE; 107,00   ;0%
PAXIL CR 25 MG;PAROXETINE;25;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME PELLICULE; 107,00   ;0%
PARANTAL;PARACETAMOL;2.4;G/100ML;SUSPENSION BUVABLE;1 FLACON 60 ML; 15,30   ;70%
TUSSIFED;TRIPROLIDINE / DEXTROMETHORPHANE;2.5 / 30;MG / MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 28,60   ;0%
BIPEN 1 M;BENZYLPENICILLINE PROCAINE;1;MUI;POUDRE POUR PREPARATION INJECTABLE;1 FLACON 2 ML; 11,10   ;70%
DIFFERINE;ADAPALENE;0.1;%;GEL;1 TUBE 30 G; 111,10   ;0%
FLEXEN;KETOPROFENE;50;MG;CAPSULE MOLLE;1 BOITE 20 CAPSULE; 28,20   ;70%
VOLTARENE 0.1%;DICLOFENAC;1;MG;COLLYRE;1 FLACON 5 ML; 47,00   ;0%
TERIX;TERBINAFINE;250;MG;COMPRIME;1 BOITE 28 COMPRIME; 296,00   ;70%
TERIX;TERBINAFINE;250;MG;COMPRIME;1 BOITE 28 COMPRIME; 296,00   ;70%
GONAL-F 450 UI;FOLLITROPINE ALFA;450;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 STYLO PRE-REMPLI; 1 738,30   ;0%
GONAL-F 450 UI;FOLLITROPINE ALFA;450;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 STYLO PRE-REMPLI; 1 738,30   ;0%
CIBACEN;BENAZEPRIL;5;MG;COMPRIME PELLICULE SECABLE;1 BOITE 28 COMPRIME PELLICULE SECABLE; 123,95   ;70%
BUTOVENT;SALBUTAMOL;100;µG;SUSPENSION POUR INHALATION BUCCALE;1 FLACON 200 DOSE; 45,30   ;70%
NORDAZ 7,5 MG;NORDAZEPAM;7.5;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 19,40   ;70%
VERMOX;MEBENDAZOLE;100;MG/5ML;SUSPENSION BUVABLE;1 FLACON 30 ML; 23,10   ;70%
TILCOTIL;TENOXICAM;20;MG;COMPRIME PELLICULE SECABLE;1 BOITE 10 COMPRIME; 44,00   ;70%
CORALAN;IVABRADINE;5;MG;COMPRIME PELLICULE SECABLE;1 BOITE 28 COMPRIME; 378,00   ;70%
OTIPAX;PHENAZONE / LIDOCAINE;0.64 / 0.16;G / G;SOLUTION POUR GOUTTE AURICULAIRE;1 FLACON 15 ML; 20,20   ;0%
ARTHROL LINIMENT;SALISYLATE DE PHENYLPROPYL / METHOXYSALICYLATE DETHYLE;10 / 2;G / G;SOLUTION POUR APPLICATION LOCALE;1 FLACON 20 G; 39,10   ;0%
NOVALGINE;METAMIZOLE;2.5;G;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE; 30,00   ;0%
NOVALGINE;METAMIZOLE;2.5;G;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE; 30,00   ;0%
CEFOTRIM;CEFTRIAXONE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 114,30   ;70%
OFLOCET;OFLOXACINE;200;MG;COMPRIME PELLICULE SECABLE;1 BOITE 10 COMPRIME PELLICULE; 109,60   ;70%
OFLOCET;OFLOXACINE;200;MG;COMPRIME PELLICULE SECABLE;1 BOITE 10 COMPRIME PELLICULE; 109,60   ;70%
DESTEC 0.5 MG/ML;DESLORATADINE;2.5;MG;SIROP;1 FLACON 60 ML; 25,00   ;0%
TRE-ZEN 20 MG;PAROXETINE;20;MG;COMPRIME SECABLE;1 BOITE 15 COMPRIME SECABLE; 74,00   ;70%
PLATAMINE;CISPLATINE;50;MG;SOLUTION POUR PERFUSION;1 BOITE 1 FLACON; 197,70   ;70%
AVAXIM;VACCIN ANTI-HEPATITE A;160;UI;SUSPENSION INJECTABLE;1 SERINGUE 1 SERINGUE PREREMPLIE; 308,00   ;0%
REQUIP 5 MG;ROPINIROLE;5;MG;COMPRIME PELLICULE;1 BOITE 21 COMPRIME PELLICULE; 456,30   ;0%
OXALISIN 5 MG/ML;OXALIPLATINE;50;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 10 ML; 1 089,00   ;70%
YOMESANE 500 MG;NICLOSAMIDE;500;MG;COMPRIME A CROQUER;1 BOITE 4 COMPRIME A CROQUER; 13,20   ;0%
XYLOCAINE 5% NEBULISEUR;LIDOCAINE;5;%;SOLUTION POUR INHALATION;1 BOITE 1 FLACON; 146,10   ;0%
METFORMINE WIN 1000 MG;METFORMINE;1000;MG;COMPRIME PELLICULE SECABLE;1 BOITE 30 COMPRIME PELLICULE; 19,90   ;70%
METFORMINE WIN 1000 MG;METFORMINE;1000;MG;COMPRIME PELLICULE SECABLE;1 BOITE 30 COMPRIME PELLICULE; 19,90   ;70%
NOVOMIX 30 FLEXPEN;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;5 STYLO 3 ML; 581,00   ;70%
ERLUS 2.5MG/5ML;DESLORATADINE;2.5;MG;SIROP;1 FLACON 100 ML; 36,20   ;0%
FLUOXET;FLUOXETINE;20;MG;GELULE;1 BOITE 10 GELULE; 71,40   ;70%
CAELYX 2MG/ML;DOXORUBICINE;1.87;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 10 ML; -     ;0%
ULCESTOP;CIMETIDINE;400;MG;COMPRIME DISPERSIBLE;1 BOITE 20 COMPRIME; 66,30   ;70%
MOTILIUM;DOMPERIDONE;10;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME PELLICULE; 34,40   ;70%
NEUTRAL;HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM;4.22 / 5;G / G;SUSPENSION BUVABLE;1 FLACON 150 ML; 22,50   ;0%
FORTAIR;FORMOTEROL;12;µG;POUDRE POUR INHALATION;1 FLACON 120 ML; 120,00   ;70%
NOMYC;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 78,00   ;70%
NOMYC;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 78,00   ;70%
CLORACEF;CEFACLOR;250;MG;GRANULE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 74,00   ;70%
KALEST;OMEPRAZOLE;20;MG;GELULE;1 BOITE 7 GELULE; 30,00   ;70%
KALEST;OMEPRAZOLE;20;MG;GELULE;1 BOITE 7 GELULE; 30,00   ;70%
KOGENATE 1000 UI;OCTOCOG ALPHA (FVIII RECOMBINANT);1000;UI;POUDRE POUR SOLUTION INJECTABLE;1 KIT 1000 UI; 7 422,00   ;70%
NEOMOX;AMOXICILLINE;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 15,30   ;70%
MINIRIN SPRAY;DESMOPRESSINE;10;µG;SOLUTION ENDONASALE;1 FLACON 2.5 ML; 206,00   ;70%
BACTRIM FORT;SULFAMETHOXAZOLE / TRIMETHOPRIME;800 / 160;MG / MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 62,80   ;70%
CLIMASTON;ESTRADIOL / DYDROGESTERONE;2 / 10;MG / MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 92,00   ;0%
STEDIRIL;NORGESTREL / ETHINYLESTRADIOL;0.5 / 0.05;MG / MG;COMPRIME ENROBE;1 BOITE 63 COMPRIME; 26,95   ;0%
SOCLAV ENFANT;AMOXICILLINE / ACIDE CLAVULANIQUE;500 / 62.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 16 SACHET; 77,90   ;70%
MONONITRIL;ISOSORBIDE MONONITRATE;20;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 49,50   ;70%
KEPPRA 500 MG;LEVETIRACETAM;500;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME PELLICULE; 666,00   ;70%
TRIACEPHINE PHARMA5 I.M;CEFTRIAXONE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 114,30   ;70%
VOTRIENT 200 MG;PAZOPANIB;200;MG;COMPRIME PELLICULE;1 BOITE 90 COMPRIME PELLICULE; 14 128,00   ;0%
NURABOL;CYPROHEPTADINE;4;MG/5ML;SIROP;1 FLACON 125 ML; 12,15   ;0%
ACIDE GLUCOSE SLF264;CONCENTRE POUR HEMODIALYSE;;NA;SOLUTE CONCENTRE;1 BIDON 10 L; 90,00   ;70%
MADECASSOL;CENTELLA ASIATICA;1;%;POMMADE;1 TUBE 30 G; 51,75   ;0%
AMCARD;AMLODIPINE;10;MG;COMPRIME;1 BOITE 28 COMPRIME; 98,90   ;70%
XYTENOL;ATENOLOL;100;MG;COMPRIME SECABLE;1 BOITE 56 COMPRIME SECABLE; 122,40   ;70%
ELVORINE;FOLINATE DE CALCIUM;50;MG;PREPARATION INJECTABLE;1 BOITE 1 FLACON; 100,00   ;70%
METHYLPREDNISOLONE MYLAN;METHYLPREDNISOLONE;500;MG;POUDRE POUR SOLUTION INJECTABLE IV;1 BOITE 1 FLACON; 120,00   ;70%
D-BLASTIN;DAUNORUBICINE;20;MG;POUDRE POUR PERFUSION;1 BOITE 1 FLACON; 126,00   ;70%
DOPEZIL RANBAXY;DONEPEZIL;10;MG;POUDRE POUR SUSPENSION INJECTABLE;1 BOITE 28 COMPRIME PELLICULE; 509,00   ;70%
VIRAFERON PEG;INTERFERON ALFA-2B PEGYLE;50;µG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; -     ;70%
BRONCHATHIOL ADULTE;CARBOCYSTEINE;5;%;SOLUTION BUVABLE;1 FLACON 150 ML; 31,20   ;0%
KEPPRA;LEVETIRACETAM;500;MG;COMPRIME PELLICULE SECABLE;1 BOITE 60 COMPRIME; 1 133,00   ;70%
ORACEFAL;CEFADROXIL;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 55,80   ;70%
DENORAL ADULTE;BUZEPIDE / CLOCINIZINE;9 / 33.75;MG / MG;SIROP;1 FLACON 150 ML; 11,50   ;0%
DENORAL ADULTE;BUZEPIDE / CLOCINIZINE;9 / 33.75;MG / MG;SIROP;1 FLACON 150 ML; 11,50   ;0%
CO-TRIM;SULFAMETHOXAZOLE / TRIMETHOPRIME;400 / 80;MG / MG;COMPRIME;1 BOITE 20 COMPRIME; 30,60   ;70%
ZORAC;TAZAROTENE;0.1;%;GEL;1 TUBE 15 G; 155,00   ;0%
DIAMOX;ACETAZOLAMIDE;250;MG;COMPRIME SECABLE;1 BOITE 24 COMPRIME; 19,00   ;70%
NEOCORT;NEOMYCINE / HYDROCORTISONE;0.35 / 1;G / G;POMMADE;1 TUBE 15 G; 21,30   ;0%
MALTOFER;FER;1;%;SOLUTION BUVABLE;1 FLACON 150 ML; 35,70   ;70%
NEKAR;KETOTIFENE;1;MG;COMPRIME;1 BOITE 60 COMPRIME; 90,00   ;0%
HEXOMEDINE TRANSCUTANEE;HEXAMIDINE;;NA;SOLUTION POUR APPLICATION LOCALE;1 FLACON 60 ML; 14,00   ;0%
ROUVAX;VACCIN ANTIROUGEOLEUX;;NA;LYOPHILISAT POUR SUSPENSION INJECTABLE;1 BOITE 1 FLACON; 63,20   ;70%
MENOPUR;MENOTROPINE;75;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 5 FLACON; 1 560,00   ;0%
ZOTROL;ATENOLOL;50;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME SECABLE; 25,00   ;0%
GLIPHARM;GLIBENCLAMIDE;5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 33,30   ;70%
GLIPHARM;GLIBENCLAMIDE;5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 33,30   ;70%
HICONCIL;AMOXICILLINE;500;MG;GELULE;1 BOITE 12 GELULE; 66,85   ;70%
HOMEOPLASMINE;SOUCHE HOMEOPATHIQUE;;NA;POMMADE;1 TUBE 18 G; 30,00   ;0%
DOGMATIL;SULPIRIDE;200;MG;COMPRIME SECABLE;1 BOITE 12 COMPRIME; 57,10   ;70%
LIOTON;HEPARINE SODIQUE;1000;UI;GEL;1 TUBE 50 G; 53,00   ;0%
CILENTRA 10 MG;ESCITALOPRAM;10;MG;COMPRIME PELLICULE SECABLE;1 BOITE 28 COMPRIME PELLICULE SECABLE; 126,00   ;70%
EUCARBON;CHARBON VEGETAL;;NA;COMPRIME;1 BOITE 100 COMPRIME; 91,00   ;0%
EUCARBON;CHARBON VEGETAL;;NA;COMPRIME;1 BOITE 100 COMPRIME; 91,00   ;0%
ARES;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME PELLICULE; 136,80   ;70%
SEPTANEST ADRENLINEE;ARTICAINE;72;MG;SOLUTION INJECTABLE POUR USAGE DENTAIRE;1 BOITE 50 CARTOUCHE; 215,00   ;0%
CHLORURE DE SODIUM LAPROPHAN;CHLORURE DE SODIUM;0.9;%;SOLUTION POUR PERFUSION;1 POCHE 3 L; 107,70   ;0%
ANXIOL;BROMAZEPAM;6;MG;COMPRIME;1 BOITE 30 COMPRIME; 36,70   ;70%
ETOPOSIDE;ETOPOSIDE;100;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; -     ;70%
FOSTIMON 75 UI/ML;UROFOLLITROPINE;75;UI;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;5 SERINGUE PREREMPLIE 1 ML; 953,00   ;0%
NOFLOXINE;NORFLOXACINE;400;MG;COMPRIME ENROBE;1 BOITE 10 COMPRIME; 78,00   ;70%
DIF-TET-ALL VACCIN;VACCIN D.T;;NA;PREPARATION INJECTABLE;1 BOITE 10 DOSE; 23,00   ;70%
PRAZOL;OMEPRAZOLE;20;MG;GELULE;1 BOITE 7 GELULE; 37,00   ;70%
MUCOCIL ENF;CARBOCYSTEINE;2;%;SOLUTION BUVABLE;1 FLACON 125 ML; 12,95   ;0%
SURMONTIL;TRIMIPRAMINE;4;%;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 30 ML; 54,30   ;70%
SURMONTIL;TRIMIPRAMINE;4;%;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 30 ML; 54,30   ;70%
DIMAZOL;CARBIMAZOLE;10;MG;COMPRIME;1 BOITE 50 COMPRIME; 48,00   ;0%
DIMAZOL;CARBIMAZOLE;10;MG;COMPRIME;1 BOITE 50 COMPRIME; 48,00   ;0%
MODOPAR;LEVODOPA / BENSERAZIDE;200 / 50;MG / MG;GELULE;1 BOITE 60 GELULE; 193,40   ;70%
POTASSIUM CHLORURE;CHLORURE DE POTASSIUM;20;%;SOLUTION POUR PERFUSION;1 BOITE 10 AMPOULE; 24,05   ;0%
OFTALAR;PRANOPROFENE;0.1;%;COLLYRE;1 FLACON 5 ML; 45,90   ;0%
OFTALAR;PRANOPROFENE;0.1;%;COLLYRE;1 FLACON 5 ML; 45,90   ;0%
ROCMALINE;ARGININE / ACIDE MALIQUE;400 / 1.5;MG / MG;SOLUTION BUVABLE;1 BOITE 20 AMPOULE BUVABLE; 44,00   ;0%
FLIXONASE;FLUTICASONE;50;µG;SUSPENSION NASALE;1 FLACON 60 DOSE; 72,00   ;70%
TIAGAM;ACIDE TIAPROFENIQUE;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 27,00   ;70%
TIAGAM;ACIDE TIAPROFENIQUE;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 27,00   ;70%
MORPHINE;MORPHINE;10;MG;SOLUTION INJECTABLE;1 BOITE 10 AMPOULE; 50,00   ;70%
ETOPOSIDE COOPER;ETOPOSIDE;100;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 118,00   ;70%
ETOPOSIDE COOPER;ETOPOSIDE;100;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 118,00   ;70%
GLUCOVANCE;METFORMINE / GLIBENCLAMIDE;500 / 5;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 47,40   ;70%
TRIAXON;CEFTRIAXONE;2;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 256,00   ;70%
TRIAXON;CEFTRIAXONE;2;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 256,00   ;70%
ESAC 40 MG;ESOMEPRAZOLE;40;MG;GELULE;1 BOITE 7 GELULE; 69,80   ;0%
ESAC 40 MG;ESOMEPRAZOLE;40;MG;GELULE;1 BOITE 7 GELULE; 69,80   ;0%
ALER Z;CETIRIZINE;10;MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME PELLICULE; 44,00   ;70%
SPASMOPLUS;PROPYPHENAZONE / CODEINE;500 / 50;MG / MG;SUPPOSITOIRE;1 BOITE 5 SUPPOSITOIRE; 23,90   ;0%
FENAC PROMOPHARM;DICLOFENAC;100;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 30,10   ;70%
COLOPATHIL;ATTAPULGITE DE MORMOIRON ACTIVEE;3;G;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 30 SACHET; 32,35   ;0%
DIPROLENE 0.05%;BETAMETHASONE;0.05;%;POMMADE;1 TUBE 15 G; 23,90   ;70%
MICROPHYLLINE;THEOPHYLLINE;300;MG;GELULE LP;1 BOITE 30 GELULE; 33,20   ;70%
ALLERGO-COMOD;CROMOGLYCATE DE SODIUM;20;MG;COLLYRE;1 FLACON 10 ML; 77,00   ;0%
CAVERJECT;ALPROSTADIL;10;µG;POUDRE POUR SOLUTION INJECTABLE;1 FLACON 1 ML; 135,50   ;0%
METOSPIR;SPIRAMYCINE / METRONIDAZOLE;1.5 / 250;MUI / MG;COMPRIME DISPERSIBLE;1 BOITE 16 COMPRIME; 80,00   ;70%
CORTIVENT;BECLOMETASONE;250;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 90,00   ;70%
CORTIVENT;BECLOMETASONE;250;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 90,00   ;70%
PARAPLATINE;CARBOPLATINE;450;MG;SOLUTION POUR PERFUSION;1 FLACON 45 ML; 5 586,80   ;70%
DIUREX;XIPAMIDE;20;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 68,80   ;0%
PARANTAL;PARACETAMOL;125;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 11,10   ;70%
PARANTAL;PARACETAMOL;125;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 11,10   ;70%
MAZAX 200 MG;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 3 SACHET; 84,00   ;0%
MEXINE 500 MG;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 16 COMPRIME PELLICULE; 121,00   ;0%
LACRIFLUIDE 0,13 POUR CENT;CARBOMERE 980;0.13;%;COLLYRE;1 FLACON 10 G; 40,00   ;0%
LACRIFLUIDE 0,13 POUR CENT;CARBOMERE 980;0.13;%;COLLYRE;1 FLACON 10 G; 40,00   ;0%
BICARBONATE DE SODIUM LAPROPHAN;BICARBONATE DE SODIUM;1.4;%;SOLUTION POUR PERFUSION;12 FLACON 250 ML; 188,10   ;0%
MAXAIR;PIRBUTEROL;200;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 155,20   ;70%
MAXAIR;PIRBUTEROL;200;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 155,20   ;70%
LIPIODOL;ESTERS ETHYLIQUES D'ACIDES GRAS IODES DE L'HUILE D'OEILLETTE;400;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE; 65,80   ;0%
GABAMOX;GABAPENTINE;300;MG;GELULE;1 BOITE 30 GELULE; 157,00   ;0%
TOTAPEN;AMPICILLINE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 8 FLACON; 51,80   ;70%
